Al C Ca Fe H K Mg Na Nit O S Si Zz 
0.0140095 0.00789313 0.303646 0.00106243 5.18779 0.016108 0.0807862 0.00713634 1.6 3.70211 0.0351713 0.0831894 2e-17 
0.0149266 0.00789313 0.319333 0.00118587 5.19789 0.0159569 0.080812 0.00706237 1.6 3.73443 0.0351859 0.0881595 2e-17 
0.0158575 0.00789313 0.335207 0.0013229 5.20812 0.0158041 0.080838 0.00698714 1.6 3.76715 0.0352009 0.0931919 2e-17 
0.0168058 0.00789313 0.351234 0.00147511 5.218 0.0156503 0.0808645 0.00691085 1.6 3.80002 0.0352164 0.0982744 2e-17 
0.0177747 0.00789313 0.367384 0.00164426 5.22471 0.015495 0.0808914 0.00683368 1.6 3.83155 0.0352325 0.103394 2e-17 
0.0187676 0.00789313 0.383624 0.00183231 5.2365 0.0153317 0.080919 0.00675582 1.6 3.86583 0.0352493 0.10854 2e-17 
0.0197876 0.00789313 0.399925 0.00204143 5.24895 0.0151678 0.0809472 0.00667724 1.6 3.90061 0.0352669 0.113699 2e-17 
0.0208382 0.00789313 0.41626 0.00227407 5.26012 0.015004 0.0809761 0.00659816 1.6 3.93487 0.0352853 0.11886 2e-17 
0.0219225 0.00789313 0.432602 0.00253288 5.26951 0.0148413 0.0810059 0.00651892 1.6 3.96832 0.0353046 0.124012 2e-17 
0.0230444 0.00789313 0.448927 0.00282081 5.2781 0.0146804 0.0810365 0.00643985 1.6 4.00142 0.035325 0.129146 2e-17 
0.0242075 0.00789313 0.465214 0.00314111 5.28641 0.0145222 0.0810682 0.00636115 1.6 4.03441 0.0353465 0.134251 2e-17 
0.025416 0.00789313 0.481445 0.00349732 5.29459 0.014367 0.0811009 0.00628296 1.6 4.06732 0.0353693 0.139318 2e-17 
0.0266668 0.00789313 0.49759 0.00388592 5.30269 0.0142149 0.0811347 0.00620543 1.6 4.10014 0.0353933 0.144339 2e-17 
0.0279393 0.00789313 0.513586 0.0042859 5.31069 0.0140651 0.0811691 0.00612867 1.6 4.1327 0.0354177 0.149305 2e-17 
0.0292337 0.00789313 0.529413 0.00469684 5.31862 0.0139176 0.081204 0.0060528 1.6 4.16498 0.0354427 0.154211 2e-17 
0.0305497 0.00789313 0.545053 0.00511827 5.32646 0.0137726 0.0812394 0.00597792 1.6 4.19695 0.0354682 0.15905 2e-17 
0.0318875 0.00789313 0.560491 0.00554964 5.33421 0.0136305 0.0812755 0.00590411 1.6 4.22857 0.0354941 0.163815 2e-17 
0.0332464 0.00789313 0.575713 0.00599026 5.34188 0.0134913 0.0813121 0.00583146 1.6 4.25983 0.0355205 0.168501 2e-17 
0.0345992 0.00789313 0.590666 0.00643941 5.34941 0.013355 0.0813485 0.00576003 1.6 4.29059 0.0355469 0.173105 2e-17 
0.0359438 0.00789313 0.605336 0.00689526 5.3568 0.0132217 0.0813845 0.00568989 1.6 4.32082 0.0355734 0.177621 2e-17 
0.0372748 0.00789313 0.619706 0.00735254 5.36403 0.0130912 0.0814202 0.00562111 1.6 4.35047 0.0355997 0.182047 2e-17 
0.0385942 0.00789313 0.633775 0.00781331 5.37112 0.0129637 0.0814556 0.00555371 1.6 4.37955 0.035626 0.18638 2e-17 
0.0399036 0.00789313 0.647539 0.0082791 5.37806 0.0128396 0.0814906 0.00548775 1.6 4.40805 0.0356522 0.190618 2e-17 
0.0412042 0.00789313 0.660998 0.00875118 5.38485 0.0127188 0.0815253 0.00542325 1.6 4.43597 0.0356783 0.194758 2e-17 
